agent_id,n_preferences,n_evaluated_preferences,accuracy,baseline_accuracy
17443,9,9,0.1111111111111111,0.5555555555555556
17525,9,9,0.8888888888888888,0.5555555555555556
17600,9,9,0.6666666666666666,0.5555555555555556
17609,9,9,0.6666666666666666,0.6666666666666666
17645,9,8,0.125,0.8888888888888888
17655,9,9,0.6666666666666666,0.5555555555555556
17669,9,9,0.1111111111111111,0.6666666666666666
17710,9,9,0.8888888888888888,0.5555555555555556
17717,9,9,0.7777777777777778,0.6666666666666666
17727,9,9,0.8888888888888888,0.6666666666666666
17739,9,9,0.5555555555555556,0.5555555555555556
17779,9,9,0.5555555555555556,0.5555555555555556
17788,9,9,0.8888888888888888,0.6666666666666666
17834,9,9,0.0,0.5555555555555556
17876,9,9,0.5555555555555556,0.5555555555555556
17906,9,9,0.6666666666666666,0.5555555555555556
17926,9,9,0.6666666666666666,0.6666666666666666
17937,9,8,0.625,0.8888888888888888
17971,9,9,0.6666666666666666,0.5555555555555556
17975,9,9,0.4444444444444444,0.7777777777777778
18040,9,9,0.6666666666666666,0.5555555555555556
18219,9,9,0.8888888888888888,0.7777777777777778
18251,9,9,0.8888888888888888,0.6666666666666666
18255,9,9,0.5555555555555556,0.6666666666666666
18272,9,9,1.0,0.5555555555555556
18509,9,9,0.8888888888888888,0.5555555555555556
18557,9,9,0.6666666666666666,0.5555555555555556
18614,9,8,0.25,0.8888888888888888
18650,9,9,0.5555555555555556,0.6666666666666666
18674,9,9,0.7777777777777778,0.7777777777777778
18697,9,9,0.6666666666666666,0.5555555555555556
18762,9,9,0.7777777777777778,0.5555555555555556
18778,9,9,1.0,0.5555555555555556
18785,9,9,0.4444444444444444,0.6666666666666666
18790,9,9,0.5555555555555556,0.5555555555555556
18805,9,9,0.7777777777777778,0.5555555555555556
18852,9,9,0.8888888888888888,0.5555555555555556
18859,9,9,1.0,0.7777777777777778
18875,9,9,0.4444444444444444,0.5555555555555556
18878,9,9,0.0,0.5555555555555556
18893,9,9,0.6666666666666666,0.5555555555555556
18942,9,9,0.0,0.6666666666666666
18967,9,9,0.8888888888888888,0.7777777777777778
18968,9,9,0.7777777777777778,0.5555555555555556
18991,9,9,1.0,0.5555555555555556
18997,9,9,0.7777777777777778,0.6666666666666666
19001,9,9,0.5555555555555556,0.6666666666666666
19002,9,9,0.1111111111111111,0.6666666666666666
19028,9,9,0.7777777777777778,0.6666666666666666
19203,9,9,0.7777777777777778,0.5555555555555556
19237,9,9,0.6666666666666666,0.6666666666666666
19239,9,9,0.4444444444444444,0.5555555555555556
19251,9,9,0.5555555555555556,0.7777777777777778
19295,9,9,0.1111111111111111,0.6666666666666666
19353,9,9,0.8888888888888888,0.5555555555555556
19398,9,9,0.8888888888888888,0.6666666666666666
19401,9,9,0.8888888888888888,0.6666666666666666
19409,9,9,0.5555555555555556,0.7777777777777778
19422,9,9,0.7777777777777778,0.5555555555555556
19438,9,9,1.0,0.7777777777777778
19470,9,9,1.0,0.5555555555555556
19539,9,9,0.6666666666666666,0.6666666666666666
19646,9,9,0.7777777777777778,0.5555555555555556
19691,9,9,0.7777777777777778,0.5555555555555556
19712,9,9,0.4444444444444444,0.6666666666666666
19745,9,9,0.8888888888888888,0.5555555555555556
19855,9,9,0.8888888888888888,0.6666666666666666
19868,9,8,0.625,0.8888888888888888
19888,9,9,0.8888888888888888,0.6666666666666666
19890,9,9,0.8888888888888888,0.5555555555555556
19901,9,9,0.4444444444444444,0.5555555555555556
19902,9,9,0.7777777777777778,0.5555555555555556
19904,9,9,0.5555555555555556,0.5555555555555556
20010,9,9,0.8888888888888888,0.7777777777777778
20063,9,9,0.6666666666666666,0.7777777777777778
20094,9,8,0.75,0.8888888888888888
20100,9,8,0.125,0.8888888888888888
20108,9,9,0.5555555555555556,0.5555555555555556
20109,9,9,0.8888888888888888,0.7777777777777778
20128,9,9,0.7777777777777778,0.5555555555555556
20149,9,9,1.0,0.7777777777777778
20161,9,9,0.7777777777777778,0.6666666666666666
20298,9,9,0.7777777777777778,0.7777777777777778
20304,9,9,0.6666666666666666,0.5555555555555556
20323,9,9,0.5555555555555556,0.5555555555555556
20352,9,8,0.625,0.8888888888888888
20391,9,9,0.8888888888888888,0.7777777777777778
20455,9,9,0.7777777777777778,0.7777777777777778
20469,9,9,0.2222222222222222,0.5555555555555556
20521,9,9,0.3333333333333333,0.5555555555555556
20572,9,9,0.8888888888888888,0.6666666666666666
20597,9,9,1.0,0.5555555555555556
20676,9,9,0.2222222222222222,0.5555555555555556
20696,9,9,0.8888888888888888,0.6666666666666666
20697,9,9,0.6666666666666666,0.7777777777777778
20808,9,9,0.8888888888888888,0.6666666666666666
20818,9,9,1.0,0.5555555555555556
20836,9,9,0.2222222222222222,0.7777777777777778
21044,9,9,0.4444444444444444,0.5555555555555556
21120,9,9,0.6666666666666666,0.6666666666666666
21146,9,9,0.7777777777777778,0.7777777777777778
21199,9,9,0.5555555555555556,0.6666666666666666
21289,9,9,0.0,0.5555555555555556
21458,9,9,0.5555555555555556,0.5555555555555556
21492,9,9,0.1111111111111111,0.5555555555555556
21500,9,9,0.5555555555555556,0.5555555555555556
21509,9,9,0.5555555555555556,0.6666666666666666
21577,9,8,0.625,0.8888888888888888
21589,9,9,0.6666666666666666,0.5555555555555556
21619,9,9,0.0,0.5555555555555556
21620,9,9,0.7777777777777778,0.5555555555555556
21623,9,9,0.5555555555555556,0.7777777777777778
21694,9,9,0.6666666666666666,0.5555555555555556
21712,9,9,0.6666666666666666,0.7777777777777778
21749,9,9,0.7777777777777778,0.6666666666666666
21756,9,8,0.875,0.8888888888888888
21818,9,9,1.0,0.5555555555555556
21835,9,9,0.5555555555555556,0.7777777777777778
21846,9,8,0.5,0.8888888888888888
21857,9,9,0.6666666666666666,0.5555555555555556
21912,9,9,0.6666666666666666,0.6666666666666666
21922,9,9,0.5555555555555556,0.6666666666666666
21947,9,9,0.6666666666666666,0.5555555555555556
21952,9,9,1.0,0.6666666666666666
21955,9,9,0.2222222222222222,0.5555555555555556
22003,9,9,0.8888888888888888,0.6666666666666666
22035,9,9,0.4444444444444444,0.5555555555555556
22067,9,9,0.1111111111111111,0.6666666666666666
22092,9,9,0.8888888888888888,0.5555555555555556
22169,9,9,1.0,0.5555555555555556
22186,9,9,0.8888888888888888,0.5555555555555556
22208,9,9,0.4444444444444444,0.6666666666666666
22220,9,9,0.8888888888888888,0.5555555555555556
22265,9,9,0.6666666666666666,0.5555555555555556
22277,9,9,0.8888888888888888,0.5555555555555556
22278,9,9,0.8888888888888888,0.5555555555555556
22309,9,9,0.8888888888888888,0.5555555555555556
22321,9,9,0.7777777777777778,0.5555555555555556
22377,9,9,0.8888888888888888,0.5555555555555556
22384,9,9,0.7777777777777778,0.5555555555555556
22403,9,9,0.6666666666666666,0.6666666666666666
22410,9,9,0.6666666666666666,0.7777777777777778
22439,9,9,0.7777777777777778,0.5555555555555556
