agent_id,w_v1,w_v2,w_v3,n_preferences,cluster_kmeans,cluster_hierarchical,cluster_gmm
16176,0.0865700734399836,0.0,0.9134299265600164,9,2,2,2
16178,0.0,1.0,0.0,9,0,0,0
16184,0.0,0.502330707094328,0.4976692929056719,9,0,0,0
16188,0.0,0.0404544214078407,0.9595455785921592,9,2,2,0
16195,0.1051572487729026,0.0,0.8948427512270973,9,2,2,2
16204,0.0,0.1044139676606967,0.8955860323393033,9,2,2,0
16298,0.0,0.2591625561551612,0.7408374438448388,9,2,2,0
16448,0.0543733576426439,0.0,0.945626642357356,9,2,2,2
16454,0.1490430267312184,0.0,0.8509569732687816,9,2,2,2
16461,0.0,0.0333338459824399,0.96666615401756,9,2,2,0
16480,0.8156519775123038,0.0,0.1843480224876962,9,1,1,2
16489,0.3377042399845286,0.6622957600154712,0.0,9,0,1,1
16493,0.4999964774766214,0.0,0.5000035225233787,9,1,1,2
16497,0.1454863752336481,0.0,0.8545136247663518,9,2,2,2
16569,0.5164784120548837,0.0,0.4835215879451163,9,1,1,2
16590,0.0,0.0571311479058117,0.942868852094188,9,2,2,0
16617,0.6711051255402627,0.3288948744597373,0.0,9,1,1,1
16684,0.8685575868057294,0.0,0.1314424131942705,9,1,1,2
16690,0.7982254173125947,0.0,0.2017745826874053,9,1,1,2
16863,0.0,0.6516593629549331,0.3483406370450669,9,0,0,0
16907,0.0130569503848015,0.0269529897076507,0.9599900599075476,9,2,2,1
16926,0.6512577323497696,0.0,0.3487422676502303,9,1,1,2
16927,0.245574894161757,0.0039412583438891,0.7504838474943538,9,2,2,1
16929,0.0,0.0,1.0,9,2,2,0
16930,0.0,0.0363741855179102,0.9636258144820896,9,2,2,0
16971,0.0,0.1355639850903893,0.8644360149096106,9,2,2,0
16989,1.0,0.0,0.0,9,1,1,2
17037,0.3704306275605727,0.0,0.6295693724394272,9,2,2,2
17107,0.0,0.022810694886333,0.977189305113667,9,2,2,0
17159,0.0,0.0293214555803923,0.9706785444196075,9,2,2,0
17169,0.0,0.0,1.0,9,2,2,0
17177,0.8356767976379209,0.0,0.1643232023620791,9,1,1,2
17187,0.0,0.548325028226353,0.451674971773647,9,0,0,0
17190,0.0,0.1338763976335402,0.8661236023664598,9,2,2,0
17230,0.0426351508785513,0.0,0.9573648491214486,9,2,2,2
17443,0.7032370476014992,0.2967629523985008,0.0,9,1,1,1
17525,0.0837506527119286,0.0,0.9162493472880714,9,2,2,2
17600,0.0,0.1414869726980926,0.8585130273019074,9,2,2,0
17609,0.2493026203466739,0.0,0.7506973796533261,9,2,2,2
17645,0.6716897130477019,0.0,0.3283102869522982,9,1,1,2
17655,0.0,0.0311951146237843,0.9688048853762158,9,2,2,0
17669,0.0,0.4715150989712514,0.5284849010287486,9,0,0,0
17710,0.0,0.020256618322344,0.979743381677656,9,2,2,0
17717,0.0,0.2150528837464369,0.784947116253563,9,2,2,0
17727,0.4420581009601286,0.0,0.5579418990398712,9,2,1,2
17739,0.0,0.8835330612016059,0.116466938798394,9,0,0,0
17779,0.0,1.0,0.0,9,0,0,0
17788,0.0,0.0465608669553628,0.953439133044637,9,2,2,0
17834,1.0,0.0,0.0,9,1,1,2
17876,0.0521411822822754,0.0,0.9478588177177246,9,2,2,2
17906,0.0,1.0,0.0,9,0,0,0
17926,0.0406839758274779,0.0048649936975357,0.9544510304749864,9,2,2,1
